Plan Type,County,Health Plan Name,Health Plan Offered Telehealth,Telehealth Website Website ,Telehealth Services Phone Number,Health Plan Nurse Advice Line,Special Note,Internal Note
Commercial,Los Angeles,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Commercial,Los Angeles,Oscar Health Plan,Yes,https://www.hioscar.com/doctor-on-call,Not applicable,1-855-672-2788,"Most Oscar Health Plan members can request a consultation from Doctor on Call through their Oscar account. Members enrolled in HSA-compatible HDHP plans can access telehealth via the Teladoc service (instructions for this are also available on Oscar’s website, mobile app, or by calling the Concierge service center). ",
Medicare Advantage,Los Angeles,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Los Angeles,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Los Angeles,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Madera,CalViva,No,https://www.calvivahealth.org/,,1-888-893-1569   TTY 711,,
Commercial,Madera,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Madera,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Madera,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Madera,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Madera,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2369,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Madera,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Madera,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Madera,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Madera,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Marin,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Marin,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Marin,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Marin,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Marin,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Marin,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2370,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Marin,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Marin,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Marin,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Commercial,Mariposa,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Mariposa,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Mariposa,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Mariposa,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Mariposa,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Mariposa,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Mendocino,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Mendocino,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Mendocino,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Mendocino,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Merced,Central California Alliance for Health,No,http://www.ccah-alliance.org/,,1-844-971-8907   TTY 711,,
Commercial,Merced,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Merced,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Merced,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Merced,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Merced,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Merced,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2371,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Merced,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Modoc,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Modoc,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Modoc,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Modoc,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Mono,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Mono,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Mono,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Mono,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Mono,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Monterey,Central California Alliance for Health,No,http://www.ccah-alliance.org/,,1-844-971-8907   TTY 711,,
Commercial,Monterey,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medicare Advantage,Monterey,Aspire Health Plan,Yes,https://aspirehealthplan.zipnosis.com/,Not applicable,,Aspire Health Plan members must complete the online registration process.,
Commercial,Monterey,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Monterey,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Napa,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Napa,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Napa,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Napa,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Napa,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2372,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Napa,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medicare Advantage,Napa,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Napa,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Commercial,Nevada,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Nevada,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Nevada,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Nevada,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Nevada,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2373,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Nevada,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Nevada,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Nevada,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Orange,CalOptima,No,https://www.caloptima.org/en.aspx,,1-844-447-8441   TDD/TTY 1-844-514-3774,,
Commercial,Orange,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Orange,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Orange,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Orange,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Orange,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Orange,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2374,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Orange,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Orange,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Commercial,Orange,Oscar Health Plan,Yes,https://www.hioscar.com/doctor-on-call,Not applicable,1-855-672-2788,"Most Oscar Health Plan members can request a consultation from Doctor on Call through their Oscar account. Members enrolled in HSA-compatible HDHP plans can access telehealth via the Teladoc service (instructions for this are also available on Oscar’s website, mobile app, or by calling the Concierge service center). ",
Medicare Advantage,Orange,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Orange,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Placer,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Placer,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Placer,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Placer,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Placer,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2375,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Placer,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Placer,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Placer,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Placer,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,Placer,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Placer,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Plumas,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Plumas,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Plumas,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Plumas,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Plumas,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Riverside,Inland Empire Health Plan,No,https://www.iehp.org/,,1-888-244-4347   TTY 1-866-577-8355,,
Commercial,Riverside,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Riverside,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Riverside,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Riverside,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Riverside,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Riverside,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2376,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Riverside,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Riverside,Molina Healthcare of California,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2362,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 711,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Medicare Advantage,Riverside,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Riverside,Sharp Health Plan,No,https://www.sharphealthplan.com/members/get-care/video-and-phone-visits,,1-800-359-2002 ,Sharp Health Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Commercial,Riverside,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Sacramento,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medi-Cal Managed Care,Sacramento,Aetna Better Health of California Inc.,No,https://www.aetnabetterhealth.com/california/,,1-855-772-9076,,
Commercial,Sacramento,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Sacramento,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sacramento,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Sacramento,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2377,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sacramento,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Sacramento,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Sacramento,Molina Healthcare of California Partner Plan,Yes,https://www.molinahealthcare.com/members/oh/en-US/hp/medicaid/overvw/coverd/Pages/virtual-care.aspx,1-800-835-2363,1-888-275-8750 for English speakers   TTY 711; 1-866-648-3537 for Spanish speakers   TTY 712,Molina Healthcare members must complete the online registration process or download the Teledoc app and complete the registration process.,Awaiting new Telehealth link from Molina
Commercial,Sacramento,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Sacramento,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Sacramento,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,Sacramento,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
